4000001: Polidoro_Caldara_da_Caravaggio
4000307: Polish-Muscovite_War_(1654-1667)
4000308: Polish-Muscovite_wars
4000309: Polish-Muscovy_War_(1605-1618)
4000310: Polish-Muscovy_War_(1632-1634)
4000311: Polish-Muscovy_war_(1605-1618)
4000312: Polish-Ottoman_War
4000313: Polish-Ottoman_War_(1620-1621)
4000314: Polish-Ottoman_War_(1620–1621)
4000315: Polish-Ottoman_War_(1633-1634)
4000316: Polish-Ottoman_War_(1633–1634)
4000317: Polish-Ottoman_War_(1672-1676)
4000318: Polish-Ottoman_War_(1672–1676)
4000319: Polish-Ottoman_War_(1683-1699)
4000320: Polish-Ottoman_Wars
4000321: Polish-Prussian_Pact
4000322: Polish-Prussian_alliance
4000323: Polish-Romanian_Alliance
4000324: Polish-Romanian_alliance
4000325: Polish-Russian_War
4000326: Polish-Russian_War,_1654-1667
4000327: Polish-Russian_War_(1605-1618)
4000328: Polish-Russian_War_(1654-1656)
4000329: Polish-Russian_War_(1658-1667)
4000330: Polish-Russian_War_of_1792
4000331: Polish-Russian_Wars
4000332: Polish-Russian_relations
4000333: Polish-Russian_war
4000334: Polish-Russian_wars
4000335: Polish-Russo_War
4000336: Polish-Saxon_crisis
4000337: Polish-Silesian
4000338: Polish-South_Korea_relations
4000339: Polish-South_Korean_relations
4000340: Polish-Soviet_Friendship_Society
4000341: Polish-Soviet_Non-Aggression_Pact
4000342: Polish-Soviet_Relationship,_1956
4000343: Polish-Soviet_Riga_Peace_Treaty
4000344: Polish-Soviet_War
4000345: Polish-Soviet_War_in_1919
4000346: Polish-Soviet_War_in_1920
4000347: Polish-Soviet_War_of_1919
4000348: Polish-Soviet_War_of_1920
4000349: Polish-Soviet_border_adjustment_treaty
4000350: Polish-Soviet_non-aggression_pact
4000351: Polish-Soviet_war
4000352: Polish-Sweden_War_(1600-1611)
4000353: Polish-Sweden_War_(1600–1611)
4000354: Polish-Sweden_War_(1620-1622)
4000355: Polish-Sweden_War_(1620–1622)
4000356: Polish-Sweden_War_(1625-1629)
4000357: Polish-Sweden_War_(1625–1629)
4000358: Polish-Swedish_War
4000359: Polish-Swedish_War_(1600-1611)
4000360: Polish-Swedish_War_(1600-1629)
4000361: Polish-Swedish_War_(1600–1611)
4000362: Polish-Swedish_War_(1617–1618)
4000363: Polish-Swedish_War_(1620-1622)
4000364: Polish-Swedish_War_(1620–1622)
4000365: Polish-Swedish_War_(1620–1625)
4000366: Polish-Swedish_War_(1625-1629)
4000367: Polish-Swedish_War_(1625–1629)
4000368: Polish-Swedish_War_(1626–1629)
4000369: Polish-Swedish_War_of_1600-1611
4000370: Polish-Swedish_War_of_1600–1611
4000371: Polish-Swedish_War_of_1620-1622
4000372: Polish-Swedish_War_of_1625-1629
4000373: Polish-Swedish_Wars
4000374: Polish-Swedish_personal_union
4000375: Polish-Swedish_union
4000376: Polish-Swedish_war
4000377: Polish-Swedish_wars
4000378: Polish-Teutonic_War
4000379: Polish-Teutonic_War_(1308-1309)
4000380: Polish-Teutonic_War_(1308-1309),
4000381: Polish-Teutonic_War_(1308–1309)
4000382: Polish-Teutonic_War_(1308–1309),
4000383: Polish-Teutonic_War_(1326-1332)
4000384: Polish-Teutonic_War_(1326–1332)
4000385: Polish-Teutonic_War_(1327-1332)
4000386: Polish-Teutonic_War_(1327–1332)
4000387: Polish-Teutonic_War_(1409-1411)
4000388: Polish-Teutonic_War_(1409–1411)
4000389: Polish-Teutonic_War_(1414)
4000390: Polish-Teutonic_War_(1422)
4000391: Polish-Teutonic_War_(1431-1435)
4000392: Polish-Teutonic_War_(1431–1435)
4000393: Polish-Teutonic_War_(1454-1466)
4000394: Polish-Teutonic_War_(1454–1466)
4000395: Polish-Teutonic_War_(1467-1479)
4000396: Polish-Teutonic_War_(1519-1521)
4000397: Polish-Teutonic_War_(1519–1521)
4000398: Polish-Teutonic_Wars
4000399: Polish-Teutonic_wars
4000400: Polish-Turkish_War
4000401: Polish-Turkish_Wars
4000402: Polish-Ukrainian_Peace_Force_Battalion
4000403: Polish-Ukrainian_War
4000404: Polish-Ukrainian_alliance
4000405: Polish-Ukrainian_relations
4000406: Polish-bolshevik_war
4000407: Polish-lithuanian_commonwealth
4000408: Polish-soviet_war
4000409: PolishLanguage
4000410: Polish_(chicken)
4000411: Polish_(language)
4000412: Polish_10th_Armoured_Cavalry_Brigade
4000413: Polish_10th_Cavalry_Brigade
4000414: Polish_10th_Infantry_Division
4000415: Polish_10th_Motorised_Brigade
4000416: Polish_10th_Motorized_Cavalry_Brigade
4000417: Polish_10th_Regiment_of_Foot
4000418: Polish_111th_Fighter_Escadrille
4000419: Polish_11th_Infantry_Division
4000420: Polish_12th_Infantry_Division
4000421: Polish_13th_Infantry_Division
4000422: Polish_14th_Infantry_Division
4000423: Polish_15th_Infantry_Division
4000424: Polish_15th_Infantry_Division_(interwar)
4000425: Polish_16th_Infantry_Division
4000426: Polish_17th_Infantry_Division
4000427: Polish_18th_Infantry_Division
4000428: Polish_1968_political_crisis
4000429: Polish_1970_protests
4000430: Polish_1976_protests
4000431: Polish_19th_Infantry_Division
4000432: Polish_1st_Armoured_Brigade
4000433: Polish_1st_Armoured_Division
4000434: Polish_1st_Armoured_Grenadiers_Division
4000435: Polish_1st_Army
4000436: Polish_1st_Corps
4000437: Polish_1st_Corps_in_Russia
4000438: Polish_1st_Corps_in_the_East
4000439: Polish_1st_Corps_in_the_West
4000440: Polish_1st_Grenadiers_Division
4000441: Polish_1st_Independent_Parachute_Brigade
4000442: Polish_1st_Infantry_Division
4000443: Polish_1st_Legions'_Infantry_Division
4000444: Polish_1st_Legions_Infantry_Division
4000445: Polish_1st_Lithuanian-Belarusian_Infantry_Division
4000446: Polish_1st_Mountain_Brigade
4000447: Polish_1st_Tadeusz_Kosciuszko_Infantry_Division
4000448: Polish_1st_Tadeusz_Kościuszko_Infantry_Division
4000449: Polish_2002_census
4000450: Polish_20th_Infantry_Division
4000451: Polish_21st_Infantry_Division
4000452: Polish_21st_Mountain_Infantry_Division
4000453: Polish_22nd_Infantry_Division
4000454: Polish_22nd_Mountain_Infantry_Division
4000455: Polish_22th_Infantry_Division
4000456: Polish_23rd_Infantry_Division
4000457: Polish_25th_Infantry_Division
4000458: Polish_26th_Infantry_Division
4000459: Polish_27th_Home_Army_Infantry_Division
4000460: Polish_27th_Infantry_Division
4000461: Polish_28th_Infantry_Division
4000462: Polish_29th_Infantry_Division
4000463: Polish_2nd_Armoured_Brigade
4000464: Polish_2nd_Armoured_Regiment
4000465: Polish_2nd_Army_(1968)
4000466: Polish_2nd_Corps
4000467: Polish_2nd_Division
4000468: Polish_2nd_Infantry_Division
4000469: Polish_2nd_Infantry_Division_(East)
4000470: Polish_2nd_Legions'_Infantry_Division
4000471: Polish_2nd_Legions'_Infantry_Regiment
4000472: Polish_2nd_Legions_Infantry_Division
4000473: Polish_2nd_Legions_Infantry_Regiment
4000474: Polish_2nd_Mountain_Brigade
4000475: Polish_2nd_Rifle_Division
4000476: Polish_2nd_Warsaw_Infantry_Division
4000477: Polish_300_Bomber_Squadron
4000478: Polish_300th_Bomber_Command
4000479: Polish_300th_Bomber_Squadron
4000480: Polish_301_Bomber_Squadron
4000481: Polish_303_Fighter_Squadron
4000482: Polish_303_Squadron
4000483: Polish_30th_Infantry_Division
4000484: Polish_315_Fighter_Squadron
4000485: Polish_315_Squadron
4000486: Polish_336th_Infantry_Regiment
4000487: Polish_36_Infantry_Regiment
4000488: Polish_36th_Infantry_Division
4000489: Polish_36th_Infantry_Regiment
4000490: Polish_38th_Infantry_Division
4000491: Polish_39th_Infantry_Division
4000492: Polish_3rd_Carpathian_Infantry_Division
4000493: Polish_3rd_Carpathian_Rifle_Division
4000494: Polish_3rd_Infantry_Division
4000495: Polish_3rd_Legions'_Infantry_Division
4000496: Polish_3rd_Legions_Infantry_Division
4000497: Polish_3rd_Mountain_Brigade
4000498: Polish_44th_Infantry_Division
4000499: Polish_4th_Cavalry_Brigade
4000500: Polish_4th_Infantry_Division
4000501: Polish_4th_Regiment_of_Front_Guard
4000502: Polish_4th_Rifle_Division
4000503: Polish_55th_Division
4000504: Polish_55th_Infantry_Division
4000505: Polish_5th_Infantry_Division
4000506: Polish_5th_Rifle_Division
4000507: Polish_5th_Siberian_Rifle_Division
4000508: Polish_6th_Infantry_Division
4000509: Polish_7,92_anti-tank_rifle
4000510: Polish_74th_Infantry_Regiment
4000511: Polish_7th_Air_Escadrille
4000512: Polish_7th_Infantry_Division
4000513: Polish_82nd_Infantry_Regiment
4000514: Polish_8th_Home_Army_Infantry_Division
4000515: Polish_8th_Infantry_Division
4000516: Polish_9th_Infantry_Division
4000517: Polish_9th_Infantry_Division_(disambiguation)
4000518: Polish_9th_Infantry_Division_(interwar)
4000519: Polish_Academy_Audience_Award
4000520: Polish_Academy_Award_for_Best_Actor
4000521: Polish_Academy_Award_for_Best_Actress
4000522: Polish_Academy_Award_for_Best_Cinematography
4000523: Polish_Academy_Award_for_Best_Costume_Design
4000524: Polish_Academy_Award_for_Best_Director
4000525: Polish_Academy_Award_for_Best_Editing
4000526: Polish_Academy_Award_for_Best_European_Film
4000527: Polish_Academy_Award_for_Best_Film
4000528: Polish_Academy_Award_for_Best_Film_Score
4000529: Polish_Academy_Award_for_Best_Producer
4000530: Polish_Academy_Award_for_Best_Production_Design
4000531: Polish_Academy_Award_for_Best_Screenplay
4000532: Polish_Academy_Award_for_Best_Sound
4000533: Polish_Academy_Award_for_Best_Supporting_Actor
4000534: Polish_Academy_Award_for_Best_Supporting_Actress
4000535: Polish_Academy_Life_Achievement_Award
4000536: Polish_Academy_Special_Award
4000537: Polish_Academy_of_Arts_and_Sciences
4000538: Polish_Academy_of_Learning
4000539: Polish_Academy_of_Science
4000540: Polish_Academy_of_Sciences
4000541: Polish_Academy_of_Skills
4000542: Polish_Aero_Club
4000543: Polish_Agreement
4000544: Polish_Agriculture_Minister
4000545: Polish_Agriculture_Ministry
4000546: Polish_Air_Force
4000547: Polish_Air_Force_Academy
4000548: Polish_Air_Force_checkerboard
4000549: Polish_Air_Force_in_Great_Britain
4000550: Polish_Air_Force_order_of_battle_in_1939
4000551: Polish_Air_Forces
4000552: Polish_Air_Forces_(Equipment)
4000553: Polish_Air_Forces_in_France_and_Great_Britain
4000554: Polish_Air_Forces_in_Great_Britain
4000555: Polish_Airforce
4000556: Polish_Alliance
4000557: Polish_Amateur_Radio_Union
4000558: Polish_American
4000559: Polish_American_Arts_Association
4000560: Polish_American_Association
4000561: Polish_American_Catholic_Heritage_Committee
4000562: Polish_American_Congress
4000563: Polish_American_Congress_of_Eastern_Massachusetts
4000564: Polish_American_Football_League
4000565: Polish_American_church_architecture
4000566: Polish_Americans
4000567: Polish_Antarctic_Station
4000568: Polish_Anti-Semitism
4000569: Polish_Antisemitism
4000570: Polish_Argentine
4000571: Polish_Argentines
4000572: Polish_Armament_in_1939-45
4000573: Polish_Armed_Forces
4000574: Polish_Armed_Forces_in_USSR
4000575: Polish_Armed_Forces_in_the_East
4000576: Polish_Armed_Forces_in_the_West
4000577: Polish_Armed_Forces_rank_insignia
4000578: Polish_Armies
4000579: Polish_Army
4000580: Polish_Army's_Cathedral
4000581: Polish_Army_Museum
4000582: Polish_Army_Stadium
4000583: Polish_Army_equipment
4000584: Polish_Army_in_Britain
4000585: Polish_Army_in_France
4000586: Polish_Army_in_France_(1939-1940)
4000587: Polish_Army_in_France_(1940)
4000588: Polish_Army_in_United_Kingdom
4000589: Polish_Army_in_the_East
4000590: Polish_Army_in_the_Soviet_Union
4000591: Polish_Army_in_the_United_Kingdom
4000592: Polish_Army_in_the_West
4000593: Polish_Army_manoeuvres_in_Volhynia
4000594: Polish_Army_oaths
4000595: Polish_Army_officer_rank_insignia
4000596: Polish_Assault
4000597: Polish_Australian
4000598: Polish_Australians
4000599: Polish_Autocephalous_Orthodox_Church_in_Poland
4000600: Polish_Autonomous_District
4000601: Polish_Auxiliary_Corps
4000602: Polish_Aviation_Museum
4000603: Polish_Baltic_Philharmonic
4000604: Polish_Baltic_Shipping_Company
4000605: Polish_Baroque
4000606: Polish_Baroque_Orchestra
4000607: Polish_Baseball_&_Softball_Federation
4000608: Polish_Baseball_and_Softball_Federation
4000609: Polish_Beer
4000610: Polish_Beer-Lovers'_Party
4000611: Polish_Beer-Lovers_Party
4000612: Polish_Biographical_Dictionary
4000613: Polish_Border_Guard
4000614: Polish_Bowling
4000615: Polish_Boy
4000616: Polish_Brazilian
4000617: Polish_Brethren
4000618: Polish_Brigade_in_Spain
4000619: Polish_British
4000620: Polish_Briton
4000621: Polish_Britons
4000622: Polish_Bund
4000623: Polish_Campaign
4000624: Polish_Campaign_of_1794-1795
4000625: Polish_Campaign_of_Slovak_Army
4000626: Polish_Canadian
4000627: Polish_Canadian_Congress
4000628: Polish_Canadians
4000629: Polish_Card
4000630: Polish_Carpathian_Brigade
4000631: Polish_Cathedral
4000632: Polish_Cathedral_Style
4000633: Polish_Cathedral_style
4000634: Polish_Catholic_Church
4000635: Polish_Catholic_Church_in_Poland
4000636: Polish_Catholic_Church_of_Canada
4000637: Polish_Cavalry
4000638: Polish_Chairman_of_the_Senate
4000639: Polish_Championship_in_Football
4000640: Polish_Championship_in_Water_polo
4000641: Polish_Charter
4000642: Polish_Chess_Championship
4000643: Polish_Chess_Federation
4000644: Polish_Chief_of_Staff
4000645: Polish_Christian_Democratic_Party
4000646: Polish_Christmas_Eve_traditions
4000647: Polish_Christmas_traditions
4000648: Polish_Church,_Bedford
4000649: Polish_Church_of_Sacred_Heart_of_Jesus_&_St_Cuthbert
4000650: Polish_Church_of_Sacred_Heart_of_Jesus_&_St_Cuthbert,_Bedford
4000651: Polish_Cipher_Bureau
4000652: Polish_Club
4000653: Polish_Club_of_San_Francisco
4000654: Polish_Coal_Trunk-Line
4000655: Polish_Coat_of_Arms
4000656: Polish_College
4000657: Polish_Committee_for_National_Freedom
4000658: Polish_Committee_for_Standardization
4000659: Polish_Committee_of_National_Liberation
4000660: Polish_Commonwealth
4000661: Polish_Communist
4000662: Polish_Communist_Party
4000663: Polish_Communist_Workers'_Party
4000664: Polish_Communists
4000665: Polish_Constitution_Day_Parade
4000666: Polish_Constitution_of_1791
4000667: Polish_Constitution_of_1815
4000668: Polish_Constitution_of_1935
4000669: Polish_Constitution_of_1952
4000670: Polish_Constitution_of_3_May
4000671: Polish_Constitution_of_3rd_May
4000672: Polish_Constitution_of_May_3
4000673: Polish_Constitution_of_May_3,_1791
4000674: Polish_Constitution_of_May_3rd
4000675: Polish_Constitution_of_the_3rd_May
4000676: Polish_Constitutional_Court
4000677: Polish_Corridor
4000678: Polish_Council
4000679: Polish_Council_of_State
4000680: Polish_Coup_(1919)
4000681: Polish_Cross_of_Merit
4000682: Polish_Crown
4000683: Polish_Crown_Jewels
4000684: Polish_Cultural-Educational_Union
4000685: Polish_Cultural_Center_in_Chicago
4000686: Polish_Cultural_Insitutes
4000687: Polish_Cultural_Institute
4000688: Polish_Cultural_and_Educational_Union
4000689: Polish_Culture
4000690: Polish_Cup
4000691: Polish_Cup_2007-08
4000692: Polish_Cup_2008-09
4000693: Polish_Cup_2008–09
4000694: Polish_Cycling_Federation
4000695: Polish_Day_of_Independence
4000696: Polish_Defence
4000697: Polish_Defence_Deferred
4000698: Polish_Defence_War
4000699: Polish_Defence_War_of_1939
4000700: Polish_Defense
4000701: Polish_Defense_Deferred
4000702: Polish_Defense_War_of_1939
4000703: Polish_Defensive_War
4000704: Polish_Defensive_War_of_1939
4000705: Polish_Democratic_Party
4000706: Polish_Democratic_Society
4000707: Polish_Diet
4000708: Polish_Downtown
4000709: Polish_Downtown,_Chicago
4000710: Polish_Downtown_(Chicago)
4000711: Polish_Ecumenical_Council
4000712: Polish_Ekstraklasa_Men's_Handball_League
4000713: Polish_Ekstraklasa_Women's_Football_League
4000714: Polish_Ekstraklasa_Women's_Handball_League
4000715: Polish_Enigma_doubles
4000716: Polish_Enlightenment
4000717: Polish_Episcopal_Conference
4000718: Polish_European_Commissioner
4000719: Polish_European_Constitution_referendum
4000720: Polish_European_Union_membership_referendum,_2003
4000721: Polish_Exonyms
4000722: Polish_Expedition_to_Kiev
4000723: Polish_Extraleague
4000724: Polish_Falcons
4000725: Polish_Falcons_of_America
4000726: Polish_Fest
4000727: Polish_Fiat_126p
4000728: Polish_Fighting_Team
4000729: Polish_Figure_Skating_Championships
4000730: Polish_Filipino
4000731: Polish_Filipinos
4000732: Polish_Film_Award
4000733: Polish_Film_Awards
4000734: Polish_Film_Awards:_Eagles
4000735: Polish_Film_Chronicle
4000736: Polish_Film_School
4000737: Polish_First_Army
4000738: Polish_First_League
4000739: Polish_Football_Association
4000740: Polish_Football_Federation
4000741: Polish_Football_League_1927-1939
4000742: Polish_Football_League_Teams
4000743: Polish_Football_Union
4000744: Polish_Footballer_of_the_Year
4000745: Polish_Forces
4000746: Polish_Forces_in_the_East
4000747: Polish_Forces_in_the_West
4000748: Polish_Foreign_Ministry
4000749: Polish_Fourth_League
4000750: Polish_General_Staff
4000751: Polish_German
4000752: Polish_Germans
4000753: Polish_Glacier
4000754: Polish_Golden_Age
4000755: Polish_Golden_Era
4000756: Polish_Gothic
4000757: Polish_Government-in-Exile
4000758: Polish_Government_Delegate
4000759: Polish_Government_Delegate's_Office_at_Home
4000760: Polish_Government_Delegation
4000761: Polish_Government_Delegature
4000762: Polish_Government_in-Exile
4000763: Polish_Government_in_Exile
4000764: Polish_Government_in_London
4000765: Polish_Government_in_exile
4000766: Polish_Heraldry
4000767: Polish_Highland_Brigade
4000768: Polish_Highlander's_Alliance_of_North_America
4000769: Polish_Highlanders_Alliance_of_North_America
4000770: Polish_Hill
4000771: Polish_Hill_(Pittsburgh)
4000772: Polish_Historical_Society
4000773: Polish_Historical_Society_(American)
4000774: Polish_Historical_Society_(Poland)
4000775: Polish_Historical_Society_(Polish)
4000776: Polish_Historical_Society_(United_States)
4000777: Polish_Hockey_League
4000778: Polish_Holocaust
4000779: Polish_Home_Army
4000780: Polish_Horse_Shoes
4000781: Polish_Hound
4000782: Polish_Humanitarian_Organisation
4000783: Polish_Hunting_Dog
4000784: Polish_Hussar
4000785: Polish_Hussars
4000786: Polish_II_Corps
4000787: Polish_IV_Cavalry_Brigade
4000788: Polish_IV_liga
4000789: Polish_I_Corps
4000790: Polish_I_Corps_in_Russia
4000791: Polish_I_Corps_in_Soviet_Union
4000792: Polish_I_Corps_in_the_Soviet_Union
4000793: Polish_I_Corps_in_the_West
4000794: Polish_Immortal
