3800001: Oxbow,_Saskatchewan
3800277: Oxford_(village),_Marquette_County,_Wisconsin
3800278: Oxford_(village),_New_York
3800279: Oxford_(village),_WI
3800280: Oxford_(village),_Wisconsin
3800281: Oxford_,_Ontario
3800282: Oxford_-er
3800283: Oxford_107.9
3800284: Oxford_Academy
3800285: Oxford_Academy_(California)
3800286: Oxford_Academy_(Connecticut)
3800287: Oxford_Academy_(High_School)
3800288: Oxford_Act
3800289: Oxford_Advanced_Learner's_Dictionary
3800290: Oxford_Advanced_Learner's_Dictionary_of_Current_English
3800291: Oxford_Airport
3800292: Oxford_American
3800293: Oxford_American_Dictionary
3800294: Oxford_Analytica
3800295: Oxford_Annotated_Bible
3800296: Oxford_Archaeological_Unit
3800297: Oxford_Archaeology
3800298: Oxford_Archaeology_North
3800299: Oxford_Arson_Squad
3800300: Oxford_Avenue-104th_Street_(BMT_Fulton_Street_Line)
3800301: Oxford_Avenue–104th_Street_(BMT_Fulton_Street_Line)
3800302: Oxford_Aviation_Academy
3800303: Oxford_Aviation_Training
3800304: Oxford_BOP_Samba
3800305: Oxford_Bach_Choir
3800306: Oxford_Bags
3800307: Oxford_Bar
3800308: Oxford_Blood
3800309: Oxford_Blue
3800310: Oxford_Blue_(color)
3800311: Oxford_Blues
3800312: Oxford_Bodleian_Library
3800313: Oxford_Book_Of_Christian_Verse
3800314: Oxford_Book_of_Carols
3800315: Oxford_Book_of_Christian_Verse
3800316: Oxford_Book_of_Contemporary_Verse
3800317: Oxford_Book_of_English_Madrigals
3800318: Oxford_Book_of_English_Mystical_Verse
3800319: Oxford_Book_of_English_Verse
3800320: Oxford_Book_of_English_Verse,_1250-1900
3800321: Oxford_Book_of_Irish_Verse
3800322: Oxford_Book_of_Modern_Verse
3800323: Oxford_Book_of_Modern_Verse_1892-1935
3800324: Oxford_Book_of_Modern_Verse_1892–1935
3800325: Oxford_Book_of_Twentieth_Century_English_Verse
3800326: Oxford_Book_of_Verse_1945-1980
3800327: Oxford_Book_of_Welsh_Verse_in_English
3800328: Oxford_Bookstore_and_Stationery_Company
3800329: Oxford_Botanic_Garden
3800330: Oxford_Botanical_Garden
3800331: Oxford_Branch
3800332: Oxford_Branch,_New_Zealand
3800333: Oxford_Branch_(New_Zealand)
3800334: Oxford_Brookes
3800335: Oxford_Brookes_Department_of_Architecture
3800336: Oxford_Brookes_University
3800337: Oxford_Brooks_University
3800338: Oxford_Bus_Company
3800339: Oxford_Bus_Museum
3800340: Oxford_CDP,_New_Jersey
3800341: Oxford_Calculators
3800342: Oxford_Cambridge_Line
3800343: Oxford_Cambridge_and_RSA_Examinations
3800344: Oxford_Cambridge_boat_race
3800345: Oxford_Canadian
3800346: Oxford_Canadian_Dictionary
3800347: Oxford_Canadian_English_Dictionary
3800348: Oxford_Canal
3800349: Oxford_Canal_Walk
3800350: Oxford_Capacity_Analysis
3800351: Oxford_Castle
3800352: Oxford_Cathedral
3800353: Oxford_Cavaliers
3800354: Oxford_Cavaliers_(Rugby)
3800355: Oxford_Cavaliers_rugby_league
3800356: Oxford_Cave,_Jamaica
3800357: Oxford_Center_for_Hindu_Studies
3800358: Oxford_Centre
3800359: Oxford_Centre,_Ontario
3800360: Oxford_Centre_for_Gene_Function
3800361: Oxford_Centre_for_Hebrew_and_Jewish_Studies
3800362: Oxford_Centre_for_Hindu_Studies
3800363: Oxford_Centre_for_Islamic_Studies
3800364: Oxford_Centre_for_Mission_Studies
3800365: Oxford_Centre_for_Vaishnava_and_Hindu_Studies
3800366: Oxford_Channel
3800367: Oxford_Charter_Township
3800368: Oxford_Charter_Township,_MI
3800369: Oxford_Charter_Township,_Michigan
3800370: Oxford_Charter_Township,_Oakland_County,_Michigan
3800371: Oxford_Cheetahs
3800372: Oxford_Circle,_Philadelphia,_Pennsylvania
3800373: Oxford_Circus
3800374: Oxford_Circus_Tube_Station
3800375: Oxford_Circus_Underground_station
3800376: Oxford_Circus_fire
3800377: Oxford_Circus_station
3800378: Oxford_Circus_tube_station
3800379: Oxford_City
3800380: Oxford_City_Council
3800381: Oxford_City_Council_election,_2006
3800382: Oxford_City_Council_election,_2008
3800383: Oxford_City_F.C.
3800384: Oxford_City_F._C.
3800385: Oxford_City_FC
3800386: Oxford_City_F_C
3800387: Oxford_City_Nomads_F.C.
3800388: Oxford_City_Nomads_F._C.
3800389: Oxford_City_Nomads_FC
3800390: Oxford_City_Nomads_F_C
3800391: Oxford_City_Stars
3800392: Oxford_Civic_Chorus
3800393: Oxford_Civic_Society
3800394: Oxford_Clarendon_Press
3800395: Oxford_Classical_Dictionary
3800396: Oxford_Classical_Text
3800397: Oxford_Classical_Texts
3800398: Oxford_Clay
3800399: Oxford_Clinic_for_Specialist_Surgery
3800400: Oxford_Collapse
3800401: Oxford_Collapse_(EP)
3800402: Oxford_College
3800403: Oxford_College_(disambiguation)
3800404: Oxford_College_of_Emory_University
3800405: Oxford_Colleges
3800406: Oxford_Collegues
3800407: Oxford_Comma
3800408: Oxford_Comma_(song)
3800409: Oxford_Committee_for_Famine_Relief
3800410: Oxford_Community_Police_Service
3800411: Oxford_Community_School
3800412: Oxford_Companion
3800413: Oxford_Companion_To_Chess
3800414: Oxford_Companion_to_Chess
3800415: Oxford_Companion_to_Classical_Literature
3800416: Oxford_Companion_to_English_Literature
3800417: Oxford_Companion_to_Food
3800418: Oxford_Companion_to_Music
3800419: Oxford_Companion_to_Philosophy
3800420: Oxford_Companion_to_Wine
3800421: Oxford_Companion_to_the_History_of_Modern_Science
3800422: Oxford_Companions
3800423: Oxford_Contemporary_Music
3800424: Oxford_Council_election,_1998
3800425: Oxford_Council_election,_1999
3800426: Oxford_Council_election,_2000
3800427: Oxford_Council_election,_2002
3800428: Oxford_Council_election,_2004
3800429: Oxford_Council_election,_2006
3800430: Oxford_Council_election,_2008
3800431: Oxford_Council_election_1998
3800432: Oxford_Council_election_1999
3800433: Oxford_Council_election_2000
3800434: Oxford_Council_election_2002
3800435: Oxford_Council_election_2004
3800436: Oxford_Council_election_2006
3800437: Oxford_County
3800438: Oxford_County,_MAine
3800439: Oxford_County,_ME
3800440: Oxford_County,_Maine
3800441: Oxford_County,_ON
3800442: Oxford_County,_Ontario
3800443: Oxford_County,_Ontario_roads
3800444: Oxford_County_Road_2_(Ontario)
3800445: Oxford_Covered_Market
3800446: Oxford_DNB
3800447: Oxford_Development
3800448: Oxford_Development_Company
3800449: Oxford_Dictionary
3800450: Oxford_Dictionary_Of_National_Biography
3800451: Oxford_Dictionary_for_Writers_and_Editors
3800452: Oxford_Dictionary_of_American_Usage_and_Style
3800453: Oxford_Dictionary_of_Biography
3800454: Oxford_Dictionary_of_Byzantium
3800455: Oxford_Dictionary_of_English
3800456: Oxford_Dictionary_of_English_Etymology
3800457: Oxford_Dictionary_of_National_Biographies
3800458: Oxford_Dictionary_of_National_Biography
3800459: Oxford_Dictionary_of_Philosophy
3800460: Oxford_Dictionary_of_Quotations
3800461: Oxford_Dictionary_of_Saints
3800462: Oxford_Dictionary_of_World_Religions
3800463: Oxford_Diffraction
3800464: Oxford_Dikker_of_Quotaggers
3800465: Oxford_Diocesan_Guild_of_Church_Bell_Ringers
3800466: Oxford_Downs_Cricket_Club
3800467: Oxford_East
3800468: Oxford_East_(UK_Parliament_constituency)
3800469: Oxford_Ecohouse
3800470: Oxford_Electric_Bell
3800471: Oxford_Encyclopedia_of_Ancient_Egypt
3800472: Oxford_Encyclopedia_of_Maritime_History
3800473: Oxford_English
3800474: Oxford_English_Canadian_Dictionary
3800475: Oxford_English_Corpus
3800476: Oxford_English_Dictionary
3800477: Oxford_English_Dictionary_Online
3800478: Oxford_English_dictionary
3800479: Oxford_English_spelling
3800480: Oxford_Espress
3800481: Oxford_Etymological_Dictionary
3800482: Oxford_Eye_Hospital
3800483: Oxford_Falls
3800484: Oxford_Falls,_New_South_Wales
3800485: Oxford_Falls_Grammar
3800486: Oxford_Falls_Grammar_School
3800487: Oxford_Falls_Peace_Park
3800488: Oxford_Farming_Conference
3800489: Oxford_Female_Institute
3800490: Oxford_Female_Institute_(Oxford,_Ohio)
3800491: Oxford_Festival_of_Contemporary_Music
3800492: Oxford_Finance
3800493: Oxford_Finance_Corporation
3800494: Oxford_Footbridge
3800495: Oxford_Forum
3800496: Oxford_Franciscan_school
3800497: Oxford_Furnace,_New_Jersey
3800498: Oxford_Futures
3800499: Oxford_Gazette
3800500: Oxford_German_Studies
3800501: Oxford_Graduate_School
3800502: Oxford_Green_Belt_Way
3800503: Oxford_Group
3800504: Oxford_Guide_to_Style
3800505: Oxford_Health_Alliance
3800506: Oxford_Health_Plans
3800507: Oxford_Health_Plans_Incorporated
3800508: Oxford_Healthcare
3800509: Oxford_High_School
3800510: Oxford_High_School,_North_Oxford,_United_Kingdom
3800511: Oxford_High_School_(Massachusetts)
3800512: Oxford_High_School_(Mississippi)
3800513: Oxford_High_School_(Oxford)
3800514: Oxford_High_School_GDST
3800515: Oxford_High_School_for_Boys
3800516: Oxford_High_School_for_Girls
3800517: Oxford_Hills_Comprehensive_High_School
3800518: Oxford_Hills_High_School
3800519: Oxford_Hills_Middle_School
3800520: Oxford_Hills_Middle_School,_South_Paris,_Maine
3800521: Oxford_History_of_England
3800522: Oxford_History_of_the_United_States
3800523: Oxford_Home_Schooling
3800524: Oxford_House
3800525: Oxford_House,_Manitoba
3800526: Oxford_House_(settlement)
3800527: Oxford_House_Airport
3800528: Oxford_Housing
3800529: Oxford_Ice_Rink
3800530: Oxford_Ice_Skating_Trust
3800531: Oxford_Imps
3800532: Oxford_Industries
3800533: Oxford_Industries,_Inc.
3800534: Oxford_Institute_of_Technology
3800535: Oxford_Instruments
3800536: Oxford_Inter-Collegiate_Christian_Union
3800537: Oxford_International_Film_Festival
3800538: Oxford_International_School
3800539: Oxford_International_School,_Dhaka
3800540: Oxford_International_University
3800541: Oxford_Internet_Institute
3800542: Oxford_Journal
3800543: Oxford_Journals
3800544: Oxford_Junction
3800545: Oxford_Junction,_IA
3800546: Oxford_Junction,_Iowa
3800547: Oxford_Junction,_Nova_Scotia
3800548: Oxford_Latin_Dictionary
3800549: Oxford_Law_Society
3800550: Oxford_Leadership_Academy
3800551: Oxford_Lectern_Bible
3800552: Oxford_Libraries_Information_System
3800553: Oxford_Lieder_Festival
3800554: Oxford_Lions
3800555: Oxford_M.A.
3800556: Oxford_MA
3800557: Oxford_Mail
3800558: Oxford_Manifesto
3800559: Oxford_Marmalade
3800560: Oxford_Martyr
3800561: Oxford_Martyrs
3800562: Oxford_Middle_School
3800563: Oxford_Movement
3800564: Oxford_Murders
3800565: Oxford_Music_Hall
3800566: Oxford_Music_Online
3800567: Oxford_Newdigate_Prize
3800568: Oxford_Newman_Society
3800569: Oxford_North
3800570: Oxford_Oratory
3800571: Oxford_Oratory_Church_of_St_Aloysius_Gonzaga
3800572: Oxford_Park
3800573: Oxford_Park,_Montreal
3800574: Oxford_Park_railway_station,_Brisbane
3800575: Oxford_Parliament
3800576: Oxford_Parliament_(1258)
3800577: Oxford_Parliament_(1644)
3800578: Oxford_Parliament_(1681)
3800579: Oxford_Pastorate
3800580: Oxford_Philomusica
3800581: Oxford_Plains_Speedway
3800582: Oxford_Playhouse
3800583: Oxford_Poetry
3800584: Oxford_Poets
3800585: Oxford_Polytechnic
3800586: Oxford_Preparatory_School
3800587: Oxford_Preservation_Trust
3800588: Oxford_Printmakers
3800589: Oxford_Prison
3800590: Oxford_Pro_Musica_Singers
3800591: Oxford_Professor_of_Poetry
3800592: Oxford_Professors_of_Poetry
3800593: Oxford_Properties
3800594: Oxford_Properties_Group
3800595: Oxford_Properties_group
3800596: Oxford_Quarry_Nomads_F.C.
3800597: Oxford_Ragwort
3800598: Oxford_Railroad_Depot_and_Junction_House
3800599: Oxford_Railroad_Depot_and_Junction_House_(Oxford,_Ohio)
3800600: Oxford_Records
3800601: Oxford_Regional_High_School
3800602: Oxford_Research_Group
3800603: Oxford_Rev._Econ._Pol.
3800604: Oxford_Review_of_Economic_Policy
3800605: Oxford_Revue
3800606: Oxford_Rewley_Road_railway_station
3800607: Oxford_Ring_Road
3800608: Oxford_Road
3800609: Oxford_Road,_Hong_Kong
3800610: Oxford_Road,_Manchester
3800611: Oxford_Road,_Reading
3800612: Oxford_Road_(Ohio)
3800613: Oxford_Road_-Reading
3800614: Oxford_Road_13
3800615: Oxford_Road_35
3800616: Oxford_Road_Commonwealth_War_Graves_Commission_Cemetery
3800617: Oxford_Road_Halt_railway_station
3800618: Oxford_Road_Show
3800619: Oxford_Road_railway_station
3800620: Oxford_Road_station
3800621: Oxford_Round_Table
3800622: Oxford_Said_Business_School
3800623: Oxford_Saints
3800624: Oxford_Saints_American_Football_Club
3800625: Oxford_Saïd_Business_School
3800626: Oxford_School
3800627: Oxford_School_District
3800628: Oxford_School_of_Drama
3800629: Oxford_Science_Park
3800630: Oxford_Scientific_Films
3800631: Oxford_Services
3800632: Oxford_Set_of_Mathematical_Instruments
3800633: Oxford_Shakespeare
3800634: Oxford_Shark
3800635: Oxford_Society
3800636: Oxford_Society_of_Change_Ringers
3800637: Oxford_Socratic_Club
3800638: Oxford_South
3800639: Oxford_Spelling
3800640: Oxford_St
3800641: Oxford_Street
3800642: Oxford_Street,_London
3800643: Oxford_Street,_Swansea
3800644: Oxford_Street,_Sydney
3800645: Oxford_Street_(disambiguation)
3800646: Oxford_Student
3800647: Oxford_Student's_Union
3800648: Oxford_Student_Publications_Limited
3800649: Oxford_Student_Services_Limited
3800650: Oxford_Student_Services_Ltd
3800651: Oxford_Symposium_on_Food_&_Cookery
3800652: Oxford_Symposium_on_Food_and_Cookery
3800653: Oxford_Text_Archive
3800654: Oxford_Times
3800655: Oxford_Tobacco_Research_Station
3800656: Oxford_Tower
3800657: Oxford_Tower_(Toronto)
3800658: Oxford_Town
3800659: Oxford_Town_Hall
3800660: Oxford_Township
3800661: Oxford_Township,_Butler_County,_OH
3800662: Oxford_Township,_Butler_County,_Ohio
3800663: Oxford_Township,_Coshocton_County,_Ohio
3800664: Oxford_Township,_Delaware_County,_Ohio
3800665: Oxford_Township,_Erie_County,_Ohio
3800666: Oxford_Township,_Guernsey_County,_Ohio
3800667: Oxford_Township,_Henry_County,_Illinois
3800668: Oxford_Township,_Isanti_County,_Minnesota
3800669: Oxford_Township,_MN
3800670: Oxford_Township,_Michigan
3800671: Oxford_Township,_Minnesota
3800672: Oxford_Township,_NJ
3800673: Oxford_Township,_New_Jersey
3800674: Oxford_Township,_Oakland_County,_Michigan
3800675: Oxford_Township,_Ohio
3800676: Oxford_Township,_Ontario
3800677: Oxford_Township,_Oxford_County,_Ontario
3800678: Oxford_Township,_PA
3800679: Oxford_Township,_Pennsylvania
3800680: Oxford_Township,_Philadelphia_County,_Pennsylvania
3800681: Oxford_Township,_Sussex_County,_New_Jersey
3800682: Oxford_Township,_Tuscarawas_County,_Ohio
3800683: Oxford_Township,_Warren_County,_New_Jersey
3800684: Oxford_Township_School_District
3800685: Oxford_Tube
3800686: Oxford_Turnpike
3800687: Oxford_Turnpike_(Connecticut)
3800688: Oxford_UCCE
3800689: Oxford_UCCE_and_Oxford_University_in_2005
3800690: Oxford_UCCE_in_2005
3800691: Oxford_UCCE_v_Derbyshire_(20-22_April_2005)
3800692: Oxford_UCCE_v_Gloucestershire_9-11_April_2005
3800693: Oxford_UCCE_v_Lancashire_25-27_May_2005
3800694: Oxford_Union
3800695: Oxford_Union_Debating_Society
3800696: Oxford_Union_Society
3800697: Oxford_United
3800698: Oxford_United_F.C.
3800699: Oxford_United_F.C._seasons
3800700: Oxford_United_F._C.
3800701: Oxford_United_FC
3800702: Oxford_United_F_C
3800703: Oxford_United_Football_Club
3800704: Oxford_United_Ladies_F.C.
3800705: Oxford_United_Ladies_FC
3800706: Oxford_United_Stars_F.C.
3800707: Oxford_United_Stars_F._C.
3800708: Oxford_United_Stars_FC
3800709: Oxford_United_Stars_F_C
3800710: Oxford_Universal_Dictionary
3800711: Oxford_University
3800712: Oxford_University_(UK_Parliament_constituency)
3800713: Oxford_University_(constituency)
3800714: Oxford_University_A.F.C.
3800715: Oxford_University_A._F._C.
3800716: Oxford_University_AFC
3800717: Oxford_University_A_F_C
3800718: Oxford_University_Amateur_Boxing
3800719: Oxford_University_Amateur_Boxing_Club
3800720: Oxford_University_Asia_Pacific_Society
3800721: Oxford_University_Association_Football_Club
3800722: Oxford_University_Boat_Club
3800723: Oxford_University_Broadcasting_Society
3800724: Oxford_University_Centre_of_Cricketing_Excellence
3800725: Oxford_University_Chancellor_election,_1925
3800726: Oxford_University_Chancellor_election,_1987
3800727: Oxford_University_Chess_Club
3800728: Oxford_University_College
3800729: Oxford_University_Computing_Laboratory
3800730: Oxford_University_Conservative_Association
3800731: Oxford_University_Continuing_Education
3800732: Oxford_University_Cricket_Club
3800733: Oxford_University_Cycling_Club
3800734: Oxford_University_Dancesport_Club
3800735: Oxford_University_Democratic_Socialist_Club
3800736: Oxford_University_Department_for_Continuing_Education
3800737: Oxford_University_Department_of_Continuing_Education
3800738: Oxford_University_Dramatic_Society
3800739: Oxford_University_Ellesmere_Land_Expedition
3800740: Oxford_University_F.C.
3800741: Oxford_University_Film_Foundation
3800742: Oxford_University_Gazette
3800743: Oxford_University_Gliding_Club
3800744: Oxford_University_Handball_Club
3800745: Oxford_University_Ice_Hockey_Club
3800746: Oxford_University_Investment_&_Finance_Society
3800747: Oxford_University_Jazz_Club
3800748: Oxford_University_Jazz_Society
3800749: Oxford_University_Labour_Club
3800750: Oxford_University_Law_Society
3800751: Oxford_University_Liberal_Democrats
3800752: Oxford_University_Library
3800753: Oxford_University_Library_System
3800754: Oxford_University_Mountaineering_Club
3800755: Oxford_University_Museum
3800756: Oxford_University_Museum_of_Natural_History
3800757: Oxford_University_Music_Society
3800758: Oxford_University_Newman_Society
3800759: Oxford_University_Orienteering_Club
3800760: Oxford_University_Parks
3800761: Oxford_University_Poetry_Society
3800762: Oxford_University_Police
3800763: Oxford_University_Press
3800764: Oxford_University_Press,_USA
3800765: Oxford_University_RFC
3800766: Oxford_University_Rowing_Clubs
3800767: Oxford_University_Rugby_Football_Club
3800768: Oxford_University_Russian_Society
3800769: Oxford_University_Scout_and_Guide_Group
3800770: Oxford_University_Society_of_Change_Ringers
3800771: Oxford_University_Student_Union
3800772: Oxford_University_Students'_Union
3800773: Oxford_University_Theology_Faculty
3800774: Oxford_University_Wine_Society
3800775: Oxford_University_cricket_team
3800776: Oxford_University_in_England
3800777: Oxford_Universty
3800778: Oxford_Utd
3800779: Oxford_Valley_Mall
3800780: Oxford_West_&_Abingdon
3800781: Oxford_West_&_Abingdon_(UK_Parliament_constituency)
3800782: Oxford_West_&_Abingdon_(constituency)
3800783: Oxford_West_and_Abingdon
3800784: Oxford_West_and_Abingdon_(UK_Parliament_constituency)
3800785: Oxford_West_and_Abingdon_(constituency)
3800786: Oxford_Wits
3800787: Oxford_World's_Classics
3800788: Oxford_Youth_Theatre
3800789: Oxford_\"-er\"
3800790: Oxford_accent
3800791: Oxford_and_Asquith
