2500001: Japanese_dictionary
2500358: Japanese_letter
2500359: Japanese_letters
2500360: Japanese_license_plates
2500361: Japanese_lifestyle
2500362: Japanese_lily
2500363: Japanese_literature
2500364: Japanese_loanwords_in_Hawaii
2500365: Japanese_macaque
2500366: Japanese_mackerel
2500367: Japanese_mafia
2500368: Japanese_magnolia
2500369: Japanese_mamushi
2500370: Japanese_management_culture
2500371: Japanese_manual_syllabary
2500372: Japanese_map_symbol
2500373: Japanese_map_symbols
2500374: Japanese_maple
2500375: Japanese_maps
2500376: Japanese_marching_band
2500377: Japanese_marine_paratroopers_of_World_War_II
2500378: Japanese_marriage_customs
2500379: Japanese_marsh_shrimp
2500380: Japanese_martial_art
2500381: Japanese_martial_artist
2500382: Japanese_martial_arts
2500383: Japanese_martial_arts_term
2500384: Japanese_martial_arts_titles
2500385: Japanese_mathematics
2500386: Japanese_measure_word
2500387: Japanese_measure_words
2500388: Japanese_media
2500389: Japanese_medicine
2500390: Japanese_men
2500391: Japanese_merchant_class
2500392: Japanese_mestizo
2500393: Japanese_migration_the_United_Kingdom
2500394: Japanese_migration_to_Britain
2500395: Japanese_migration_to_the_United_Kingdom
2500396: Japanese_militarism
2500397: Japanese_militarists
2500398: Japanese_military
2500399: Japanese_military-political_doctrines_in_the_Showa_period
2500400: Japanese_military_aircraft_designation_systems
2500401: Japanese_military_attaches_in_foreign_service
2500402: Japanese_military_attaches_in_foreing_service
2500403: Japanese_military_attachés_in_foreign_service
2500404: Japanese_military_commander
2500405: Japanese_military_history
2500406: Japanese_military_ranks
2500407: Japanese_military_strategies_in_1942
2500408: Japanese_military_yen
2500409: Japanese_millet
2500410: Japanese_minelayer_Itsukushima
2500411: Japanese_minelayer_Okinoshima
2500412: Japanese_minelayer_Tsugaru
2500413: Japanese_minelayer_Yaeyama
2500414: Japanese_mineral_investment_in_Mengjiang
2500415: Japanese_minesweeper_W-9
2500416: Japanese_mini_truck
2500417: Japanese_mini_trucks
2500418: Japanese_mining_and_energy_resources_(WWII)
2500419: Japanese_mining_and_energy_resources_(World_War_II)
2500420: Japanese_mining_industry
2500421: Japanese_ministries
2500422: Japanese_mob
2500423: Japanese_mobile_phone_culture
2500424: Japanese_mode
2500425: Japanese_modernization_(1868-1930)
2500426: Japanese_mole
2500427: Japanese_mon
2500428: Japanese_mon_(currency)
2500429: Japanese_mon_(disambiguation)
2500430: Japanese_money
2500431: Japanese_monkeys
2500432: Japanese_monorails
2500433: Japanese_months
2500434: Japanese_mortars
2500435: Japanese_moss_ball
2500436: Japanese_moss_balls
2500437: Japanese_motorcycle_Grand_Prix
2500438: Japanese_mountain-ash
2500439: Japanese_mountain_ash
2500440: Japanese_mountain_yam
2500441: Japanese_movie
2500442: Japanese_movies
2500443: Japanese_museums
2500444: Japanese_music
2500445: Japanese_musical_instrument
2500446: Japanese_musical_instruments
2500447: Japanese_mythology
2500448: Japanese_myths
2500449: Japanese_name
2500450: Japanese_names
2500451: Japanese_national_Australian_rules_football_team
2500452: Japanese_national_anthem
2500453: Japanese_national_baseball_team
2500454: Japanese_national_football_team
2500455: Japanese_national_ice_hockey_team
2500456: Japanese_national_universities
2500457: Japanese_national_university
2500458: Japanese_nationalism
2500459: Japanese_nationalism:_ideological_development_from_the_1920s_to_1945
2500460: Japanese_nationalist_symbolism
2500461: Japanese_nationalist_thinking_in_the_Meiji_era
2500462: Japanese_nationalists
2500463: Japanese_nationalists_thinking_development_in_Meiji_epoch
2500464: Japanese_nationality
2500465: Japanese_nationality_law
2500466: Japanese_naval_codes
2500467: Japanese_naval_history
2500468: Japanese_navy
2500469: Japanese_neighborhood
2500470: Japanese_neighbourhood
2500471: Japanese_new_year
2500472: Japanese_newspapers
2500473: Japanese_newspapers:_historical_sources
2500474: Japanese_nightingale
2500475: Japanese_nobility
2500476: Japanese_noodle
2500477: Japanese_noodles
2500478: Japanese_novel
2500479: Japanese_novelist
2500480: Japanese_nuclear_weapons_program
2500481: Japanese_numbers
2500482: Japanese_numeral
2500483: Japanese_numerals
2500484: Japanese_occupation
2500485: Japanese_occupation_(disambiguation)
2500486: Japanese_occupation_government
2500487: Japanese_occupation_of_Burma
2500488: Japanese_occupation_of_China
2500489: Japanese_occupation_of_China_1937
2500490: Japanese_occupation_of_Guam
2500491: Japanese_occupation_of_Hong_Kong
2500492: Japanese_occupation_of_Indonesia
2500493: Japanese_occupation_of_Kiska
2500494: Japanese_occupation_of_Korea
2500495: Japanese_occupation_of_Malaya
2500496: Japanese_occupation_of_Malaya,_North_Borneo,_and_Sarawak
2500497: Japanese_occupation_of_Malaya,_North_Borneo_and_Sarawak
2500498: Japanese_occupation_of_Malaysia
2500499: Japanese_occupation_of_North_Borneo_and_Sarawak
2500500: Japanese_occupation_of_Singapore
2500501: Japanese_occupation_of_Taiwan
2500502: Japanese_occupation_of_Thailand
2500503: Japanese_occupation_of_the_Philippines
2500504: Japanese_occupational_force
2500505: Japanese_occupied_Korea
2500506: Japanese_onomatopoeia
2500507: Japanese_opium_policy_in_Taiwan_(1895-1945)
2500508: Japanese_opium_policy_in_Taiwan_(1895–1945)
2500509: Japanese_orphans_in_China
2500510: Japanese_orthography
2500511: Japanese_orthography_issues
2500512: Japanese_overseas
2500513: Japanese_overseas_armed_actions,_first_period
2500514: Japanese_overseas_armed_actions,_second_period
2500515: Japanese_overseas_armed_actions,_third_period
2500516: Japanese_pagoda_tree
2500517: Japanese_painted_fern
2500518: Japanese_painting
2500519: Japanese_paleolithic
2500520: Japanese_pancake
2500521: Japanese_paper
2500522: Japanese_parliament
2500523: Japanese_particle
2500524: Japanese_particles
2500525: Japanese_passport
2500526: Japanese_patent_attorney
2500527: Japanese_patent_law
2500528: Japanese_patent_office
2500529: Japanese_peace_lily
2500530: Japanese_pear
2500531: Japanese_people
2500532: Japanese_people_in_Hong_Kong
2500533: Japanese_people_in_North_Korea
2500534: Japanese_people_in_Russia
2500535: Japanese_pepper
2500536: Japanese_peppermint
2500537: Japanese_perm
2500538: Japanese_persimmon
2500539: Japanese_persimmons
2500540: Japanese_person
2500541: Japanese_philosopher
2500542: Japanese_philosophy
2500543: Japanese_phonetic_alphabet
2500544: Japanese_phonology
2500545: Japanese_pickles
2500546: Japanese_pilchard
2500547: Japanese_pinball
2500548: Japanese_pinecone_fish
2500549: Japanese_pipistrelle
2500550: Japanese_pirates
2500551: Japanese_pitch_accent
2500552: Japanese_place_name
2500553: Japanese_place_names
2500554: Japanese_placenames
2500555: Japanese_plane
2500556: Japanese_planeed-State_of_Republic_of_Far_East
2500557: Japanese_plum
2500558: Japanese_plums
2500559: Japanese_poems
2500560: Japanese_poet
2500561: Japanese_poetic_diary
2500562: Japanese_poetry
2500563: Japanese_police
2500564: Japanese_police_system
2500565: Japanese_policy_toward_South-East_Asia
2500566: Japanese_policy_toward_Southeast_Asia
2500567: Japanese_political_and_military_nationalist_organizations
2500568: Japanese_political_party_Liberal_Democratic_party
2500569: Japanese_political_values
2500570: Japanese_politician
2500571: Japanese_politics
2500572: Japanese_pop
2500573: Japanese_pop_culture
2500574: Japanese_pop_music
2500575: Japanese_pops
2500576: Japanese_popular_culture
2500577: Japanese_popular_music
2500578: Japanese_porcelain
2500579: Japanese_porn
2500580: Japanese_pornographic
2500581: Japanese_pornography
2500582: Japanese_possessives
2500583: Japanese_post-war_economic_miracle
2500584: Japanese_post_in_Korea
2500585: Japanese_postal_service
2500586: Japanese_pottery
2500587: Japanese_pottery_and_porcelain
2500588: Japanese_prefecture
2500589: Japanese_prefectures
2500590: Japanese_prehistoric
2500591: Japanese_prime_minister
2500592: Japanese_prime_ministers
2500593: Japanese_printmaking
2500594: Japanese_prints
2500595: Japanese_prisoners_of_war_in_the_Soviet_Union
2500596: Japanese_prisons
2500597: Japanese_privet
2500598: Japanese_professional_wrestling
2500599: Japanese_pronoun
2500600: Japanese_pronouns
2500601: Japanese_proverb
2500602: Japanese_proverbs
2500603: Japanese_province
2500604: Japanese_public_bath
2500605: Japanese_public_corporations
2500606: Japanese_pufferfish
2500607: Japanese_pugnose_grenadier
2500608: Japanese_punctuation
2500609: Japanese_puppet
2500610: Japanese_puppet_theater
2500611: Japanese_puppet_theatre
2500612: Japanese_puppets
2500613: Japanese_puzzle
2500614: Japanese_pygmy_angelfish
2500615: Japanese_quail
2500616: Japanese_quality
2500617: Japanese_quince
2500618: Japanese_raccoon
2500619: Japanese_raccoon_dog
2500620: Japanese_racoon
2500621: Japanese_radio
2500622: Japanese_raiders_in_Indian_Ocean_Campaign
2500623: Japanese_raiders_in_Indian_Ocean_Campaing
2500624: Japanese_railway
2500625: Japanese_railway_signals
2500626: Japanese_railways
2500627: Japanese_ranks_and_insignia_during_World_War_II
2500628: Japanese_rap_music
2500629: Japanese_rat_snake
2500630: Japanese_ratsnake
2500631: Japanese_records_in_swimming
2500632: Japanese_red_fox
2500633: Japanese_red_pine
2500634: Japanese_reggae
2500635: Japanese_regional_cuisine
2500636: Japanese_regions
2500637: Japanese_religion
2500638: Japanese_religions
2500639: Japanese_relocation
2500640: Japanese_relocation_camp
2500641: Japanese_restaurant
2500642: Japanese_rhinoceros_beetle
2500643: Japanese_rice
2500644: Japanese_rice_lager
2500645: Japanese_ring
2500646: Japanese_robin
2500647: Japanese_robotics
2500648: Japanese_robots
2500649: Japanese_rock
2500650: Japanese_rock_bands
2500651: Japanese_rock_garden
2500652: Japanese_rock_paper_scissors
2500653: Japanese_role-playing_games
2500654: Japanese_romanisation
2500655: Japanese_romanization
2500656: Japanese_rope_bondage
2500657: Japanese_roughshark
2500658: Japanese_royal_family
2500659: Japanese_rule_in_Taiwan
2500660: Japanese_rule_of_Taiwan
2500661: Japanese_ryo
2500662: Japanese_ryō
2500663: Japanese_sacred_lily
2500664: Japanese_sail_battleships
2500665: Japanese_salmon
2500666: Japanese_sash
2500667: Japanese_saw
2500668: Japanese_sawshark
2500669: Japanese_scallion
2500670: Japanese_school
2500671: Japanese_school_uniform
2500672: Japanese_school_uniforms
2500673: Japanese_science_fiction
2500674: Japanese_science_fiction_television
2500675: Japanese_screen
2500676: Japanese_screens
2500677: Japanese_script
2500678: Japanese_script_reform
2500679: Japanese_sculpture
2500680: Japanese_sea
2500681: Japanese_sea_lion
2500682: Japanese_sea_nettle
2500683: Japanese_sea_star
2500684: Japanese_seahorse
2500685: Japanese_seaplane_carrier_Wakamiya
2500686: Japanese_secret_and_special_weapons
2500687: Japanese_self-defence_forces
2500688: Japanese_self-defense_forces
2500689: Japanese_semaphore
2500690: Japanese_serow
2500691: Japanese_settlement_in_the_Philippines
2500692: Japanese_ship_Mikaho
2500693: Japanese_ship_naming_conventions
2500694: Japanese_shore_crab
2500695: Japanese_sign_language
2500696: Japanese_signalling_war_fan
2500697: Japanese_sillago
2500698: Japanese_ska
2500699: Japanese_skewers
2500700: Japanese_slipper
2500701: Japanese_snack_food
2500702: Japanese_snow_monkey
2500703: Japanese_soap_opera
2500704: Japanese_society
2500705: Japanese_soldier
2500706: Japanese_sound_symbolism
2500707: Japanese_soy_sauce
2500708: Japanese_space_agency
2500709: Japanese_space_program
2500710: Japanese_spaniel
2500711: Japanese_sparrowhawk
2500712: Japanese_speakers_learning_r_and_l
2500713: Japanese_spicebush
2500714: Japanese_spider_crab
2500715: Japanese_spindle
2500716: Japanese_spiny_lobster
2500717: Japanese_spitz
2500718: Japanese_sports
2500719: Japanese_spurdog
2500720: Japanese_square
2500721: Japanese_stab_binding
2500722: Japanese_star_anise
2500723: Japanese_steak_house
2500724: Japanese_steakhouse
2500725: Japanese_steam_battleships
2500726: Japanese_steam_warship_Takao
2500727: Japanese_steamers
2500728: Japanese_stereotypes
2500729: Japanese_stilt_grass
2500730: Japanese_story
2500731: Japanese_strategic_planning_for_mainland_Asia_(1905-1940)
2500732: Japanese_strategic_planning_for_mainland_Asia_(1905–1940)
2500733: Japanese_strategic_planning_for_the_Pacific_(1905-1940)
2500734: Japanese_street_fashion
2500735: Japanese_strike
2500736: Japanese_striped_snake
2500737: Japanese_students_in_Britain
2500738: Japanese_students_in_the_United_Kingdom
2500739: Japanese_studies
2500740: Japanese_studies_outside_the_United_States
2500741: Japanese_subculture
2500742: Japanese_submarine_I-1
2500743: Japanese_submarine_I-124
2500744: Japanese_submarine_I-158
2500745: Japanese_submarine_I-168
2500746: Japanese_submarine_I-17
2500747: Japanese_submarine_I-175
2500748: Japanese_submarine_I-177
2500749: Japanese_submarine_I-19
2500750: Japanese_submarine_I-201
2500751: Japanese_submarine_I-202
2500752: Japanese_submarine_I-21
2500753: Japanese_submarine_I-25
2500754: Japanese_submarine_I-26
2500755: Japanese_submarine_I-29
2500756: Japanese_submarine_I-30
2500757: Japanese_submarine_I-34
2500758: Japanese_submarine_I-370
2500759: Japanese_submarine_I-400
2500760: Japanese_submarine_I-401
2500761: Japanese_submarine_I-502
2500762: Japanese_submarine_I-52
2500763: Japanese_submarine_I-55
2500764: Japanese_submarine_I-58
2500765: Japanese_submarine_I-70
2500766: Japanese_submarine_I-73
2500767: Japanese_submarine_I-8
2500768: Japanese_submarine_I‑370
2500769: Japanese_submarine_Oyashio_(SS-511)
2500770: Japanese_submarine_RO-45
2500771: Japanese_succession_controversy
2500772: Japanese_suffixes
2500773: Japanese_supermarket
2500774: Japanese_superstitions
2500775: Japanese_surname
2500776: Japanese_surrender
2500777: Japanese_sword
2500778: Japanese_sword_(disambiguation)
2500779: Japanese_swordfighting
2500780: Japanese_swords
2500781: Japanese_swordsmanship
2500782: Japanese_symbols
2500783: Japanese_syntax
2500784: Japanese_tea_ceremony
2500785: Japanese_tea_garden
2500786: Japanese_tea_garden_at_Golden_Gate_Park
2500787: Japanese_tea_house
2500788: Japanese_teahouse
2500789: Japanese_telephone_numbering_plan
2500790: Japanese_television
2500791: Japanese_television_drama
2500792: Japanese_television_dramas
2500793: Japanese_television_programs
2500794: Japanese_temple_geometry
2500795: Japanese_territory
2500796: Japanese_textbook
2500797: Japanese_textbook_controversies
2500798: Japanese_textbook_controversy
2500799: Japanese_textbooks
2500800: Japanese_textbooks_controversy
2500801: Japanese_textbooks_controversy_and_protests
2500802: Japanese_the_Manga_Way
2500803: Japanese_the_Manga_Way:_An_Illustrated_Guide_to_Grammar_&_Structure
2500804: Japanese_theater
2500805: Japanese_theatre
2500806: Japanese_theorem
2500807: Japanese_theorem_for_concyclic_polygons
2500808: Japanese_theorem_for_concyclic_quadrilaterals
2500809: Japanese_theory_of_blood_type
2500810: Japanese_theory_of_blood_type_personality
2500811: Japanese_tissue
2500812: Japanese_title
2500813: Japanese_titles
2500814: Japanese_toilet
2500815: Japanese_toilets
2500816: Japanese_topeshark
2500817: Japanese_torpedo_boat_Kotaka
2500818: Japanese_torpedo_boat_Tomozuru
2500819: Japanese_tourism
2500820: Japanese_town_house
2500821: Japanese_townhouse
2500822: Japanese_trade_dollar
2500823: Japanese_trade_secrets
2500824: Japanese_trademark_law
2500825: Japanese_traditional_dance
2500826: Japanese_traditional_dolls
2500827: Japanese_traditional_instrument
2500828: Japanese_traditional_medicine
2500829: Japanese_traditional_musical_instrument
2500830: Japanese_traditional_musical_instruments
2500831: Japanese_traditions_and_religions
2500832: Japanese_tree_frog
2500833: Japanese_treefrog
2500834: Japanese_trevally
2500835: Japanese_typefaces
2500836: Japanese_typographic_symbols
2500837: Japanese_typographical_symbols
2500838: Japanese_unit
2500839: Japanese_units
2500840: Japanese_units_of_measurement
2500841: Japanese_upper_house_election,_2004
2500842: Japanese_used_vehicle_exporting
2500843: Japanese_values
2500844: Japanese_variety_show
2500845: Japanese_vegetable_knife
2500846: Japanese_velvet_dogfish
2500847: Japanese_vending_machines
2500848: Japanese_verb
2500849: Japanese_verb_conjugations
2500850: Japanese_verb_conjugations_and_adjective_declensions
2500851: Japanese_veterans_in_overseas_interventions_(1894-1927)
2500852: Japanese_veterans_in_overseas_interventions_(1894–1927)
2500853: Japanese_voice_actor
2500854: Japanese_voice_actress
2500855: Japanese_wall
2500856: Japanese_war_atrocities
2500857: Japanese_war_atrocity
2500858: Japanese_war_crime
