500001: Augusta,_Wi
500204: Augusta_and_Savannah_Railroad
500205: Augusta_and_Summerville_Railroad
500206: Augusta_and_Waynesboro_Railroad
500207: Augusta_and_florida_railroad
500208: Augusta_and_knoxville_railroad
500209: Augusta_and_savannah_railroad
500210: Augusta_and_summerville_railroad
500211: Augusta_and_waynesboro_railroad
500212: Augusta_canal_and_heritage_interpretive_center
500213: Augusta_family
500214: Augusta_fells_savage_institute_of_visual_arts
500215: Augusta_maine
500216: Augusta_of_Baden-Baden
500217: Augusta_of_Bavaria
500218: Augusta_of_Brunswick
500219: Augusta_of_Brunswick-Wolfenbuettel
500220: Augusta_of_Brunswick-Wolfenbuttel
500221: Augusta_of_Brunswick-Wolfenbüttel
500222: Augusta_of_Cambridge
500223: Augusta_of_Denmark
500224: Augusta_of_Hesse-Kassel
500225: Augusta_of_Prussia
500226: Augusta_of_Reuss
500227: Augusta_of_Reuss-Ebersdorf
500228: Augusta_of_Saxe-Gotha
500229: Augusta_of_Saxe-Weimar
500230: Augusta_of_Wales
500231: Augusta_of_cambridge
500232: Augusta_of_denmark
500233: Augusta_preparatory_day_school
500234: Augusta_technical_college
500235: Augusta_von_Fersen
500236: Augustaea
500237: Augustaea_(genus)
500238: Augustaea_formicaria
500239: Augustaeum
500240: Augustaion
500241: Augustale
500242: Augustales
500243: Augustalia
500244: Augustalis
500245: Augustalis_(disambiguation)
500246: Augustamnica
500247: Augustan_Age
500248: Augustan_Arch
500249: Augustan_Confession
500250: Augustan_History
500251: Augustan_Reprint_Society
500252: Augustan_Society
500253: Augustan_couplet
500254: Augustan_drama
500255: Augustan_heroic_couplet
500256: Augustan_jewel
500257: Augustan_literature
500258: Augustan_poetry
500259: Augustan_poets
500260: Augustan_prose
500261: Augustana
500262: Augustana_(band)
500263: Augustana_Academy
500264: Augustana_College
500265: Augustana_College,_IL
500266: Augustana_College,_SD
500267: Augustana_College_(Illinois)
500268: Augustana_College_(South_Dakota)
500269: Augustana_College_--_Sioux_Falls
500270: Augustana_Divinity_School
500271: Augustana_Divinity_School_(Neuendettelsau)
500272: Augustana_Evangelical_Lutheran_Church
500273: Augustana_Lutheran_Church
500274: Augustana_Lutheran_Synod
500275: Augustana_Synod
500276: Augustana_University_College
500277: Augustana_academy
500278: Augustas_Rotundas
500279: Augustasaurus
500280: Augustasaurus_hagdorni
500281: Augustavas
500282: Augustdorf
500283: Augustdorf_UNRRA_displaced_persons_camp
500284: Auguste
500285: Auguste,_Baron_Lambermont
500286: Auguste,_Comte_de_Flahaut_de_la_Billarderie
500287: Auguste,_Comte_de_Villiers_de_L'isle-Adam
500288: Auguste-Alexandre_Ducrot
500289: Auguste-Arthur,_Comte_de_Beugnot
500290: Auguste-Arthur,_Count_Beugnot
500291: Auguste-Barthélemy_Glaize
500292: Auguste-C.P.R._Landry
500293: Auguste-Charles-Philippe-Robert_Landry
500294: Auguste-Edouard_Mariette
500295: Auguste-Eduard_Gilliaert
500296: Auguste-François_Maunoury
500297: Auguste-Frederic-Louis_Viesse_De,_Duc_de_Raguse_Marmont
500298: Auguste-Henri_Forel
500299: Auguste-Jean-Baptiste_Defauconpret
500300: Auguste-Joseph-Alphonse_Gratry
500301: Auguste-Joseph_Franchomme
500302: Auguste-Louis-Alberic,_prince_d'Arenberg
500303: Auguste-Louis-Albéric,_prince_d'Arenberg
500304: Auguste-Louis-Marie_Ottin
500305: Auguste-Marie-Francois_Beernaert
500306: Auguste-Marie-François_Colbert
500307: Auguste-Marseille_Barthelemy
500308: Auguste-Marseille_Barthélemy
500309: Auguste-Real_Angers
500310: Auguste-René-Marie_Dubourg
500311: Auguste-Ricard_de_Montferrand
500312: Auguste-Rosalie_Bisson
500313: Auguste-Réal_Angers
500314: Auguste-Theodore-Paul_de_Broglie
500315: Auguste-Théodore-Paul_de_Broglie
500316: Auguste-Viktoria
500317: Auguste-Édouard_Mariette
500318: Auguste-Éduard_Gilliaert
500319: Auguste_(ship)
500320: Auguste_Ambroise_Tardieu
500321: Auguste_Antoine_Piccard
500322: Auguste_Aramini
500323: Auguste_Arnaud
500324: Auguste_Arthur,_comte_de_Beugnot
500325: Auguste_Arthur_Beugnot
500326: Auguste_Barbier
500327: Auguste_Baron
500328: Auguste_Barthelemy
500329: Auguste_Bartholdi
500330: Auguste_Beernaert
500331: Auguste_Belloc
500332: Auguste_Blanqui
500333: Auguste_Bordage
500334: Auguste_Borget
500335: Auguste_Bouche-Leclercq
500336: Auguste_Bouché-Leclercq
500337: Auguste_Bournonville
500338: Auguste_Boyer
500339: Auguste_Bravais
500340: Auguste_Bravard
500341: Auguste_Buffet_jeune
500342: Auguste_Burdeau
500343: Auguste_Cain
500344: Auguste_Carayon
500345: Auguste_Casimir-Perier
500346: Auguste_Casimir-Périer
500347: Auguste_Casimir_Perier
500348: Auguste_Casimir_Périer
500349: Auguste_Cavadini
500350: Auguste_Caïn
500351: Auguste_Chaillou
500352: Auguste_Chapdelaine
500353: Auguste_Charles_Eugene_Napoleon_de_Beauharnais
500354: Auguste_Charles_Eugene_Napoleon_de_Beauharnais,_2nd_Duke_of_Leuchtenberg
500355: Auguste_Charles_Eugène_Napoléon_de_Beauharnais
500356: Auguste_Charles_Eugène_Napoléon_de_Beauharnais,_2nd_Duke_of_Leuchtenberg
500357: Auguste_Charles_Joseph_Flahault_de_la_Billarderie
500358: Auguste_Charles_Philippe_Landry
500359: Auguste_Charles_Philippe_Robert_Landry
500360: Auguste_Charles_Pugin
500361: Auguste_Charlois
500362: Auguste_Chauveau
500363: Auguste_Choisy
500364: Auguste_Choquette
500365: Auguste_Chouteau
500366: Auguste_Compte
500367: Auguste_Comte
500368: Auguste_Cont
500369: Auguste_Czartoryski
500370: Auguste_D
500371: Auguste_Daubree
500372: Auguste_Defauconpret
500373: Auguste_Denise
500374: Auguste_Dubail
500375: Auguste_Dumeril
500376: Auguste_Dumont
500377: Auguste_Duméril
500378: Auguste_Dupin
500379: Auguste_Edouard_Cerfberr
500380: Auguste_Emil_Braun
500381: Auguste_Englebert_Pierre_Orts
500382: Auguste_Escoffier
500383: Auguste_Etienne_François_Mayer
500384: Auguste_F._Mariette
500385: Auguste_Faguet
500386: Auguste_Ferdinand_Francois_Mariette
500387: Auguste_Forel
500388: Auguste_Franchomme
500389: Auguste_Francois_Baird
500390: Auguste_Francois_Biard
500391: Auguste_Francois_Cesar_Prouvencal_de_Saint-Hilaire
500392: Auguste_Francois_Chomel
500393: Auguste_François
500394: Auguste_François-Marie_de_Colbert-Chabanais
500395: Auguste_François_Biard
500396: Auguste_François_Chomel
500397: Auguste_François_César_Prouvençal_de_Saint-Hilaire
500398: Auguste_Frederic_Louis_Viesse_de_Marmont
500399: Auguste_Frédéric_Louis_Viesse_de_Marmont
500400: Auguste_George_Airport
500401: Auguste_Giroux
500402: Auguste_Gusteau
500403: Auguste_Haouisee
500404: Auguste_Haouisée
500405: Auguste_Henri_Andre_Dumeril
500406: Auguste_Henri_André_Duméril
500407: Auguste_Henri_Forel
500408: Auguste_Henri_Vildieu
500409: Auguste_Herbin
500410: Auguste_Hermann_Francke
500411: Auguste_Hilarion
500412: Auguste_Hilarion,_Comte_de_Keratry
500413: Auguste_Hilarion,_comte_de_Keratry
500414: Auguste_Hilarion,_comte_de_Kératry
500415: Auguste_Hilarion_de_Kératry
500416: Auguste_Himly
500417: Auguste_Hoel
500418: Auguste_Hoël
500419: Auguste_Island
500420: Auguste_Jacques_Nicolas_Peureux_de_Melay
500421: Auguste_Jacques_Nicolas_Peureux_de_Mélay
500422: Auguste_Jean-Baptiste_Defauconpret
500423: Auguste_Jean_Ameil
500424: Auguste_Jean_Baptiste_Chevalier
500425: Auguste_Jean_Francois_Grenier
500426: Auguste_Jean_François_Grenier
500427: Auguste_Jean_Marie_Vermorel
500428: Auguste_Jonnart
500429: Auguste_Jordan
500430: Auguste_Joseph_Alphonse_Gratry
500431: Auguste_Joseph_Caron
500432: Auguste_Kerckhoffs
500433: Auguste_Kerckhoffs_von_Nieuwenhof
500434: Auguste_Lameere
500435: Auguste_Laurent
500436: Auguste_Laurent_Burdeau
500437: Auguste_Levêque
500438: Auguste_Lumiere
500439: Auguste_Lumieres
500440: Auguste_Lumière
500441: Auguste_Lumières
500442: Auguste_Lupa
500443: Auguste_Léger
500444: Auguste_Léopold_Protet
500445: Auguste_Macarty
500446: Auguste_Macke
500447: Auguste_Maquet
500448: Auguste_Marchais
500449: Auguste_Marie_Francois_Beernaert
500450: Auguste_Marie_François_Beernaert
500451: Auguste_Marie_Johanna_of_Baden-Baden
500452: Auguste_Marie_Louis_Nicholas_Lumiere
500453: Auguste_Marie_Louis_Nicholas_Lumière
500454: Auguste_Marie_Louis_Nicolas_Lumiere
500455: Auguste_Mariette
500456: Auguste_Marmont
500457: Auguste_Marmot
500458: Auguste_Marseille_Barthelemy
500459: Auguste_Mathieu_Panseron
500460: Auguste_Maurice_Barres
500461: Auguste_Maurice_Barrés
500462: Auguste_Mayer
500463: Auguste_McKay
500464: Auguste_Michel-Levy
500465: Auguste_Michel-Lévy
500466: Auguste_Michel_Levy
500467: Auguste_Molinier
500468: Auguste_Montferrand
500469: Auguste_Mouchout
500470: Auguste_Nelaton
500471: Auguste_Nicolas
500472: Auguste_Nicolas_Pomel
500473: Auguste_Nélaton
500474: Auguste_Orts
500475: Auguste_Ottin
500476: Auguste_Pahl
500477: Auguste_Pavie
500478: Auguste_Perier
500479: Auguste_Perret
500480: Auguste_Picard
500481: Auguste_Piccard
500482: Auguste_Pierre_Chouteau
500483: Auguste_Pomel
500484: Auguste_Pompogne
500485: Auguste_Poulet-Malassis
500486: Auguste_Poulet_Malassis
500487: Auguste_Preault
500488: Auguste_Préault
500489: Auguste_Pugin
500490: Auguste_Pyrame_De_Candolle
500491: Auguste_Périer
500492: Auguste_Raffet
500493: Auguste_Real_Angers
500494: Auguste_Regnaud_de_Saint-Jean_d'Angely
500495: Auguste_Regnaud_de_Saint-Jean_d'Angély
500496: Auguste_Renaud
500497: Auguste_Renoir
500498: Auguste_Reuss-Ebersdorf
500499: Auguste_Ricard_de_Montferrand
500500: Auguste_Ricord
500501: Auguste_Rodin
500502: Auguste_Rodolphe_de_Niederhäusern
500503: Auguste_Rosalie_Bisson
500504: Auguste_Réal_Angers
500505: Auguste_Sabatier
500506: Auguste_Saint-Arromen
500507: Auguste_Salle
500508: Auguste_Sallé
500509: Auguste_Schmidt
500510: Auguste_Serrurier
500511: Auguste_Simon_Paris
500512: Auguste_TOUBEAU
500513: Auguste_Taveau
500514: Auguste_Theophile_Leger
500515: Auguste_Théophile_Léger
500516: Auguste_Tilkens
500517: Auguste_Tolbeque
500518: Auguste_Toubeau
500519: Auguste_Tremont
500520: Auguste_Trémont
500521: Auguste_Vachon
500522: Auguste_Vacquerie
500523: Auguste_Vaequerie
500524: Auguste_Vaillant
500525: Auguste_Van_Daan
500526: Auguste_Verneuil
500527: Auguste_Vestris
500528: Auguste_Victor_Laurent_Perier
500529: Auguste_Victor_Laurent_Périer
500530: Auguste_Victor_Louis_Verneuil
500531: Auguste_Villiers_De_L'Isle-Adam
500532: Auguste_Villiers_de_L'Isle-Adam
500533: Auguste_Villiers_de_l'Isle-Adam
500534: Auguste_Walras
500535: Auguste_Wilhelmine_Maria_of_Hesse-Darmstadt
500536: Auguste_Wilhelmine_Marie_of_Hesse-Darmstadt
500537: Auguste_and_Louis_Lumiere
500538: Auguste_and_Louis_Lumière
500539: Auguste_comte_de_Villiers_de_L'Isle-Adam
500540: Auguste_d'Arenberg
500541: Auguste_de_Beauharnais,_2nd_Duke_of_Leuchtenberg
500542: Auguste_de_Jaba
500543: Auguste_de_Leuchtenberg
500544: Auguste_de_Marmont
500545: Auguste_de_Montferrand
500546: Auguste_de_Niederhausern
500547: Auguste_de_Niederhausern-Rodo
500548: Auguste_de_Niederhäusern
500549: Auguste_de_montferrand
500550: Auguste_maquet
500551: Auguste_marseille_barthelemy
500552: Auguste_of_Beauharnais
500553: Auguste_of_Reuss
500554: Auguste_of_Reuss-Ebersdorf
500555: Auguste_tremont
500556: Auguste_van_Daan
500557: Auguste_van_Pels
500558: Auguste_van_pels
500559: Auguste_Édouard_Cerfberr
500560: Auguste_Étienne_François_Mayer
500561: Augusten_Burroughs
500562: Augustenborg
500563: Augustenburg
500564: Augusteo_Orchestra
500565: Augusteo_Symphony
500566: Augusti
500567: Augustia
500568: Augustibuller
500569: Augustien_Pluys
500570: Augustin
500571: Augustin,_Brasov
500572: Augustin,_Braşov
500573: Augustin,_King_of_Kung-Fu
500574: Augustin,_abbé_de_Barruel
500575: Augustin,_roi_du_Kung-fu
500576: Augustin-Alexandre_Dumont
500577: Augustin-Frederic_Kodock
500578: Augustin-Frédéric_Kodock
500579: Augustin-Jean_Fresnel
500580: Augustin-Jerome_Raby
500581: Augustin-Jérôme_Raby
500582: Augustin-Louis,_Baron_Cauchy
500583: Augustin-Louis_Cauchy
500584: Augustin-Magloire_Blanchet
500585: Augustin-Marie_Picot
500586: Augustin-Marie_Picot,_marquis_de_Dampierre
500587: Augustin-Norbert_Morin
500588: Augustin-Pyramus_de_Candolle
500589: Augustin_(song)
500590: Augustin_Alexandre_Darthe
500591: Augustin_Alexandre_Darthé
500592: Augustin_Banyaga
500593: Augustin_Barie
500594: Augustin_Barié
500595: Augustin_Barruel
500596: Augustin_Barruél
500597: Augustin_Bea
500598: Augustin_Binya
500599: Augustin_Bizimana
500600: Augustin_Bizimungu
500601: Augustin_Bonnetty
500602: Augustin_Boue_de_Lapeyrere
500603: Augustin_Bourbonnais
500604: Augustin_Bourdeau
500605: Augustin_Boué_de_Lapeyrère
500606: Augustin_Brassard
500607: Augustin_Buzura
500608: Augustin_C._Bourdeau
500609: Augustin_Cabanès
500610: Augustin_Calleri
500611: Augustin_Calmet
500612: Augustin_Cardinal_Bea
500613: Augustin_Cauchy
500614: Augustin_Chaho
500615: Augustin_Chantrel
500616: Augustin_Charpentier
500617: Augustin_Clayton
500618: Augustin_Cochin
500619: Augustin_Cochin_(historian)
500620: Augustin_Cochin_(politician)
500621: Augustin_Cornelius_Bourdeau
500622: Augustin_Cosme_Damian_de_Iturbide_y_Aramburu
500623: Augustin_Cournot
500624: Augustin_Daly
500625: Augustin_Daniel_Belliard
500626: Augustin_De_Backer
500627: Augustin_Deac
500628: Augustin_Deleanu
500629: Augustin_Diamacoune_Senghor
500630: Augustin_Dumon-Dumortier
500631: Augustin_Dumont
500632: Augustin_Edwards
500633: Augustin_Eguavoen
500634: Augustin_Ehrensvaerd
500635: Augustin_Ehrensvard
500636: Augustin_Ehrensvärd
500637: Augustin_Eugene_Scribe
500638: Augustin_Eugène_Scribe
500639: Augustin_Fernandez_Munoz,_Duke_of_Riansares
500640: Augustin_Fernandez_Muñoz,_Duke_of_Riansares
500641: Augustin_Filon
500642: Augustin_Francois_Cesar_Prouvencal_de_Saint-Hilaire
500643: Augustin_François_César_Prouvençal_de_Saint-Hilaire
500644: Augustin_Frederic_Kodock
500645: Augustin_Fresnel
500646: Augustin_Friedrich_Walther
500647: Augustin_Frédéric_Kodock
500648: Augustin_Gamarra
500649: Augustin_Georges_Albert_Charpy
500650: Augustin_Gilles_Binya
500651: Augustin_Hadelich
500652: Augustin_Herman
500653: Augustin_Hirschvogel
500654: Augustin_Humphrey
500655: Augustin_I_of_Mexico
500656: Augustin_Iyamuremye
500657: Augustin_Jacob_Landré-Beauvais
500658: Augustin_Jean_Fresnel
500659: Augustin_Kambale
500660: Augustin_Keller
500661: Augustin_Kontchou
500662: Augustin_Kontchou_Kouomegni
500663: Augustin_Kountchou
500664: Augustin_Krist
500665: Augustin_Langlade
500666: Augustin_Lara
500667: Augustin_LeStrange
500668: Augustin_Louis,_Baron_Cauchy
500669: Augustin_Louis_Baron_Cauchy
500670: Augustin_Louis_Cauchy
500671: Augustin_Magaldi
500672: Augustin_Magloire_Alexandre_Blanchet
500673: Augustin_Magloire_Blanchet
500674: Augustin_Malroux
500675: Augustin_Marie_Morvan
500676: Augustin_Moussavou_King
500677: Augustin_Nadal
500678: Augustin_Ndindiliyimana
500679: Augustin_Neumann
500680: Augustin_Ngirabatware
500681: Augustin_Nicolas_Gilbert
500682: Augustin_Nifo
500683: Augustin_Norbert_Morin
500684: Augustin_O'Horan
500685: Augustin_Pajou
500686: Augustin_Preucil
500687: Augustin_Prevost
500688: Augustin_Pyrame_de_Candolle
500689: Augustin_Pyramus_de_Candolle
500690: Augustin_R._Humphrey
500691: Augustin_Reed_Humphrey
500692: Augustin_Renaudet
500693: Augustin_Ringeval
500694: Augustin_Rivard
500695: Augustin_Robespierre
500696: Augustin_Rotundus
500697: Augustin_Royer
500698: Augustin_Rösch
500699: Augustin_S._Clayton
500700: Augustin_Saint-Hilaire
500701: Augustin_Sainte-Beuve
500702: Augustin_Sainte_Beuve
500703: Augustin_Schoeffer
500704: Augustin_Schramm
500705: Augustin_Scribe
500706: Augustin_Smith_Clayton
500707: Augustin_Souchy
500708: Augustin_Stable
500709: Augustin_Tamames
500710: Augustin_Tassi
500711: Augustin_Theiner
500712: Augustin_Thierry
500713: Augustin_Thompson
500714: Augustin_Trivulce
500715: Augustin_V._Zamorano
500716: Augustin_Verot
500717: Augustin_Voloshin
500718: Augustin_Voloshyn
500719: Augustin_Volosin
500720: Augustin_barie
500721: Augustin_de_Backer
500722: Augustin_de_Betancourt
500723: Augustin_de_Betancur
500724: Augustin_de_Boschenry_de_Drucour
500725: Augustin_de_Candolle
500726: Augustin_de_Grimaldi
500727: Augustin_de_Iturbide
500728: Augustin_de_La_Balme
500729: Augustin_de_Lestrange
500730: Augustin_de_Macarty
500731: Augustin_de_Maupeou
500732: Augustin_de_Mesy
500733: Augustin_de_Mésy
500734: Augustin_de_Saffray_de_Mesy
500735: Augustin_de_Saffray_de_Mezy
500736: Augustin_de_Saffray_de_Mésy
500737: Augustin_de_Saffray_de_Mézy
500738: Augustin_de_Vetancourt
500739: Augustin_de_Vetancurt
500740: Augustin_de_backer
500741: Augustin_de_boschenry_de_drucour
500742: Augustin_de_la_Balme
500743: Augustin_de_la_balme
500744: Augustin_de_le_Balme
500745: Augustin_hadelich
500746: Augustin_lanner
500747: Augustin_louis_cauchy
500748: Augustin_van_de_Werve
500749: Augustin_van_de_werve
500750: Augustin_von_Alfeld
500751: Augustin_von_Alveld
500752: Augustin_von_alveld
500753: Augustina
500754: Augustina_Saragossa
500755: Augustina_Stridsberg
500756: Augustinas_Voldemaras
500757: Augustine
500758: Augustine's_Confessions
500759: Augustine_(disambiguation)
500760: Augustine_(elm_cultivar)
500761: Augustine_(given_name)
500762: Augustine_A._Healy
500763: Augustine_Ahinful
500764: Augustine_B._Kelley
500765: Augustine_Baker
500766: Augustine_Band_of_Cahuilla_Indians
500767: Augustine_Band_of_Cahuilla_Indians,_California
500768: Augustine_Band_of_Cahuilla_Mission_Indians_of_the_Augustine_Reservation,_California
500769: Augustine_Band_of_Cauhilla_Indians
500770: Augustine_Bernard_Kelley
500771: Augustine_Birrell
500772: Augustine_Bockarie
500773: Augustine_Bourdeau
500774: Augustine_Bradshaw
500775: Augustine_Broach
500776: Augustine_C._Bourdeau
500777: Augustine_Calmet
500778: Augustine_Chihuri
500779: Augustine_Choge
500780: Augustine_Colin_Macdonald
500781: Augustine_Cornelius_Bourdeau
500782: Augustine_Duganne
500783: Augustine_Eguavoen
500784: Augustine_Eriugena
500785: Augustine_Fangi
500786: Augustine_Fellowship
500787: Augustine_Francis_Hewit
500788: Augustine_Francis_Schinner
500789: Augustine_Garland
500790: Augustine_Goh_Sin_Tub
500791: Augustine_Grimaldi
500792: Augustine_H._Shepperd
500793: Augustine_Harris
500794: Augustine_Heard
500795: Augustine_Heard_&_Co
500796: Augustine_Heard_&_Co.
500797: Augustine_Heard_and_Co
500798: Augustine_Heard_and_Company
500799: Augustine_Heights,_Queensland
500800: Augustine_Henry
500801: Augustine_Henry_Shepperd
500802: Augustine_Herman
500803: Augustine_Herrman
500804: Augustine_Hewit
500805: Augustine_Hornyak
500806: Augustine_Huy_Viet_Phan
500807: Augustine_Indian_Reservation
500808: Augustine_Island
500809: Augustine_Jean_Fresnel
500810: Augustine_John_Hodson
500811: Augustine_Joseph
500812: Augustine_Joseph_Hickey_Duganne
500813: Augustine_Kandathil
500814: Augustine_Kandathil_Mar
500815: Augustine_Kelley
500816: Augustine_Kelly
500817: Augustine_Kiprono_Choge
500818: Augustine_Kortu
500819: Augustine_Leudar
500820: Augustine_Lonergan
500821: Augustine_Lyatonga_Mrema
500822: Augustine_Macdonald
